top - 04:18:06 up  1:56,  4 users,  load average: 0.00, 0.01, 0.04
Tasks: 112 total,   1 running, 111 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni, 75.0 id,  8.3 wa, 16.7 hi,  0.0 si,  0.0 st 
MiB Mem :   1705.5 total,    765.2 free,    428.5 used,    689.2 buff/cache     
MiB Swap:   2048.0 total,   2044.7 free,      3.3 used.   1277.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    739 dbus      20   0    9084   4148   3380 S   0.0   0.2   0:00.09 dbus-br+
    754 dbus      20   0    5012   3080   2440 S   0.0   0.2   0:00.36 dbus-br+
    759 root      20   0   19784  10732   7276 S   0.0   0.6   0:00.20 systemd+
    768 chrony    20   0   84592   4360   3676 S   0.0   0.2   0:00.53 chronyd
    815 root      20   0    7196   4684   3916 S   0.0   0.3   0:00.03 login
   1314 root      20   0   25440  13724  10652 S   0.0   0.8   0:00.67 systemd
   1316 root      20   0   13628   2588   1400 S   0.0   0.1   0:00.00 (sd-pam)
   1325 root      20   0    7344   4068   3300 S   0.0   0.2   0:00.06 bash
   1370 root      20   0   15484  10688   8640 S   0.0   0.6   0:00.01 sshd-se+
   1374 root      20   0   15628   7576   5260 S   0.0   0.4   0:00.59 sshd-se+
   1375 root      20   0    7344   3964   3324 S   0.0   0.2   0:00.04 bash
   1664 root      20   0  330312  17308  14236 S   0.0   1.0   0:01.46 Network+
   1913 root       0 -20       0      0      0 I   0.0   0.0   0:00.13 kworker+
   1921 root      20   0   15484  10752   8704 S   0.0   0.6   0:00.14 sshd-se+
   1925 root      20   0   15628   7812   5500 S   0.0   0.4   0:03.03 sshd-se+
   1926 root      20   0    7344   4076   3436 S   0.0   0.2   0:00.14 bash
   8382 root      20   0    8532   3620   3364 S   0.0   0.2   0:00.01 dbus-br+
   8383 root      20   0    4640   2616   2360 S   0.0   0.1   0:00.02 dbus-br+
  21167 root      20   0    8764   6172   5148 S   0.0   0.4   0:00.03 sshd
  36506 root      20   0    8300   3444   2676 S   0.0   0.2   0:00.03 crond
  36507 root      20   0   20540   8896   7872 S   0.0   0.5   0:00.09 systemd+
  36508 root      20   0  162852   5788   4892 S   0.0   0.3   0:00.61 rsyslogd
  36510 root      20   0   34572  10768   8208 S   0.0   0.6   0:00.07 systemd+
  36524 root      20   0  130868  41840  17300 S   0.0   2.4   0:00.47 firewal+
  40501 root      20   0       0      0      0 I   0.0   0.0   0:00.56 kworker+
  40713 root      20   0       0      0      0 I   0.0   0.0   0:00.32 kworker+
  40839 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
  40927 root      20   0       0      0      0 I   0.0   0.0   0:21.70 kworker+
  41166 root      20   0       0      0      0 I   0.0   0.0   0:21.65 kworker+
  41204 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker+
  41244 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  41247 root      20   0   16312   5968   5072 S   0.0   0.3   0:00.04 systemd+
  41248 root      20   0   16312   6016   5120 S   0.0   0.3   0:00.02 systemd+
  41249 root      20   0   16312   5968   5072 S   0.0   0.3   0:00.02 systemd+
